"LOCATION" "FINAL_MARGIN" "SHOT_NUMBER" "PERIOD" "DRIBBLES" "TOUCH_TIME" "SHOT_DIST" "PTS_TYPE" "SHOT_RESULT" "CLOSE_DEF_DIST"
"95" "A" 7 11 3 0 0.9 21 2 "made" 6.9
"96" "A" 7 12 3 5 4.2 3.8 2 "made" 4.2
"97" "A" 7 13 3 13 10.5 24 3 "missed" 4.4
"98" "A" 7 14 3 1 2.4 6.6 2 "made" 1
"99" "A" 7 15 3 8 8.2 28.7 3 "missed" 3.4
"100" "A" 7 16 3 2 3.5 3 2 "made" 2.4
"101" "A" 7 17 3 11 9 26.4 3 "missed" 6.2
"102" "A" 7 18 3 3 4 19.4 2 "missed" 3.9
"103" "A" 7 19 4 1 1.7 24.3 3 "made" 4.3
"104" "A" 7 20 4 0 0.7 24.6 3 "made" 3.2
"105" "A" 7 21 4 14 12.5 24.7 3 "missed" 4.6
"106" "A" 7 22 4 0 1.9 24.8 3 "made" 6
"107" "H" 5 1 1 1 2 24.2 3 "missed" 4.3
"108" "H" 5 2 1 1 2.5 3.5 2 "missed" 0.5
"109" "H" 5 3 1 6 5.3 2.8 2 "made" 0.2
"110" "H" 5 4 1 2 3 4.9 2 "missed" 2.5
"111" "H" 5 5 1 0 1.9 25 3 "made" 7
"112" "H" 5 6 1 1 0.8 24.2 3 "missed" 2.5
"113" "H" 5 7 1 0 1.2 23.1 3 "missed" 11.4
"114" "H" 5 8 1 10 7.6 21.2 2 "missed" 6
"115" "H" 5 9 1 1 1.3 27.7 3 "made" 6.2
"116" "H" 5 10 2 8 7.3 4.5 2 "made" 4.5
"117" "H" 5 11 2 1 1.2 7.3 2 "made" 5.2
"118" "H" 5 12 2 3 4.8 24.3 3 "missed" 4.4
"119" "H" 5 13 2 0 0.8 24.6 3 "made" 17
"120" "H" 5 14 3 2 3.5 21 2 "made" 6.2
"121" "H" 5 15 3 7 6.5 1.6 2 "made" 1.6
"122" "H" 5 16 3 0 0.8 24.3 3 "missed" 5.3
"123" "H" 5 17 3 8 6.7 10.6 2 "made" 0.9
"124" "H" 5 18 3 10 7.8 24.7 3 "made" 6.1
"125" "H" 5 19 3 15 14 9.5 2 "made" 1
"126" "H" 5 20 4 0 0 8.7 2 "missed" 2.3
"127" "H" 5 21 4 11 8.7 26.3 3 "made" 6.6
"128" "H" 5 22 4 13 12 16.1 2 "made" 6
"129" "H" 5 23 4 12 10.4 2.8 2 "missed" 2.8
"130" "H" 8 1 1 2 3.9 6.2 2 "made" 1.9
"131" "H" 8 2 1 1 2.4 23.4 3 "missed" 7
"132" "H" 8 3 1 0 0.8 21.8 3 "missed" 6.2
"133" "H" 8 4 1 4 5.6 28.7 3 "missed" 7.7
"134" "H" 8 5 1 7 5.5 4 2 "missed" 1.1
"135" "H" 8 6 1 0 0.7 24.1 3 "made" 5
"136" "H" 8 7 1 5 5.2 5.9 2 "missed" 1.4
"137" "H" 8 8 1 6 6.5 28.5 3 "missed" 4.7
"138" "H" 8 9 1 0 1.8 17.3 2 "missed" 3.7
"139" "H" 8 10 2 0 0.9 23.9 3 "made" 2.8
"140" "H" 8 11 2 6 5.1 17.7 2 "made" 3.6
"141" "H" 8 12 3 0 0.6 24.5 3 "missed" 3.1
"142" "H" 8 13 3 8 6.6 5.3 2 "made" 4.4
"143" "H" 8 14 3 4 4.6 21.1 2 "made" 5.2
